Language,Pop_1985,Pop_1990,Pop_1995,Pop_2000,Pop_2005,Pop_2010,Pop_2015,Pop_2020,Pop_2025,Pop_2030,Pop_2035,Pop_2040,Pop_2045,Pop_2050,Bir_1985,Bir_1990,Bir_1995,Bir_2000,Bir_2005,Bir_2010,Bir_2015,Bir_2020,Bir_2025,Bir_2030,Bir_2035,Bir_2040,Bir_2045,Bir_2050,Dea_1985,Dea_1990,Dea_1995,Dea_2000,Dea_2005,Dea_2010,Dea_2015,Dea_2020,Dea_2025,Dea_2030,Dea_2035,Dea_2040,Dea_2045,Dea_2050
Italian,56719,56714,57295,57785,59038,60749,61856,62403,62592,62623,62531,62139,61957,61416,10.2,10,9.2,9.5,9.6,9.5,8,5.957853107,6.921783697,6.461128598,6.0004735,5.539818402,5.079163304,4.618508206,9.7,9.6,9.8,9.8,9.8,9.9,10.7,10.41428571,10.54285714,10.67142857,10.8,10.92857143,11.05714286,11.18571429
Japanese,120755,123538,125328,126776,127716,127580,126920,126138,123366,120752,117747,114449,110907,107210,11.9,10,9.54,9.4,8.41,8.5,8,5.633717514,5.8172159,5.127049502,4.436883105,3.746716707,3.056550309,2.366383912,6.2,6.7,7.41,7.7,8.53,9.5,10.3,10.76571429,11.445,12.12428571,12.80357143,13.48285714,14.16214286,14.84142857
Madagascar,10029,11633,13533,15713,18132,20847,23813,26956,30183,33418,36615,39759,42834,45808,44.689,44.339,43.725,41.275,37.923,35.204,33.392,33.82640282,30.74195141,28.84090165,26.93985188,25.03880212,23.13775235,21.23670259,16.115,15.153,12.74,10.199,8.498,7.375,6.472,3.975,2.23475,0.4945,-1.24575,-2.986,-4.72625,-6.4665
Malay,15650,17883,20340,23152,25969,28275,30514,32653,34684,36619,38448,40124,41620,42929,30.088,28.096,26.179,21.98,18.164,17.258,17.024,13.78287514,10.85318757,8.471343832,6.089500094,3.707656356,1.325812618,-1.056031121,5.258,4.854,4.632,4.528,4.52,4.649,4.877,4.521857143,4.462392857,4.402928571,4.343464286,4.284,4.224535714,4.165071429
Mandarin,1061876,1153164,1221056,1268302,1302285,1336681,1367486,1397026,1410807,1419019,1424558,1428383,1433211,1437978,21.04,21.06,17.12,14.03,12.4,11.9,12.07,7.575254237,6.265841404,4.402826877,2.539812349,0.676797821,-1.186216707,-3.049231235,6.78,6.67,6.57,6.45,6.51,7.11,7.11,7.001428571,7.066071429,7.130714286,7.195357143,7.26,7.324642857,7.389285714
Nahuatl,76601,84635,92584,99776,106577,114062,121737,128650,134829,140063,144287,147495,149612,150568,31.434,28.802,26.096,23.85,21.741,20.042,18.573,14.29871808,12.8530019,10.57487126,8.296740624,6.018609988,3.740479352,1.462348715,6.035,5.447,5.033,4.737,4.792,5.266,5.763,5.093428571,5.04275,4.992071429,4.941392857,4.890714286,4.840035714,4.789357143
Nepali,16570,18919,21877,24819,27094,28952,31552,34209,36623,38886,40940,42777,44447,45985,40.419,38.458,35.985,31.547,26.061,22.692,20.844,20.8399435,15.11529318,11.89519323,8.675093288,5.454993341,2.234893395,-0.985206551,15.484,12.839,10.391,8.518,7.363,6.815,6.502,3.698571429,2.197785714,0.697,-0.803785714,-2.304571429,-3.805357143,-5.306142857
Polish,37226,38120,38601,38655,38557,38617,38563,38283,37754,36985,36052,35028,33926,32739,18.3,14.4,11.2,9.9,9.5,10.9,9.7,8.097627119,6.345242131,5.199806295,4.05437046,2.908934625,1.763498789,0.618062954,10.3,10.2,10,9.6,9.6,9.9,10.4,9.9,9.875,9.85,9.825,9.8,9.775,9.75
Portuguese,149028,162400,177801,192313,206090,218253,229564,244620,255335,265342,274502,282823,290412,297389,74.242,69.686,67.498,64.888,60.486,56.042,53.079,50.53731582,46.64276505,43.21731518,39.79186531,36.36641544,32.94096557,29.51551569,28.742,26.811,24.76,22.651,20.792,18.935,16.275,14.54928571,12.50925,10.46921429,8.429178572,6.389142857,4.349107143,2.309071429
Spanish,118335,127100,135435,142634,151818,161004,168761,176395,183060,188652,193133,196456,198509,199175,97.228,90.339,81.742,74.883,70.834,65.954,60.607,49.80462034,45.42198875,39.08821901,32.75444927,26.42067954,20.08690981,13.75314007,30.526,29.511,28.195,27.419,27.034,26.454,27.496,25.75285714,25.16839286,24.58392857,23.99946429,23.415,22.83053571,22.24607143
Thai,51759,56097,59818,62902,65113,66721,67977,68978,69589,69751,69447,68696,67546,66064,22.133,19.222,16.913,14.524,12.87,11.757,10.836,4.18309096,4.16004548,1.961219727,-0.237606026,-2.43643178,-4.635257533,-6.834083286,6.129,5.707,6.344,6.877,7.123,7.191,7.389,7.755285714,8.024107143,8.292928571,8.56175,8.830571429,9.099392857,9.368214286
Turkish,50989,56545,61296,65970,70465,74687,79415,82018,84545,86671,88279,89283,89626,89291,30.295,25.865,23.553,21.672,19.521,17.918,16.718,12.09195254,10.65715484,8.368912793,6.080670743,3.792428692,1.504186642,-0.784055408,9.512,8.247,7.301,6.466,6.013,5.697,5.404,4.275428571,3.607142857,2.938857143,2.270571429,1.602285714,0.934,0.265714286
Ukrainian,50945,51623,51248,49014,47003,45769,44430,43923,42888,41699,40538,39428,38325,37149,14.587,12.6,9.6,7.8,9,10.8,10.7,7.76149774,7.544713156,6.91996892,6.295224684,5.670480448,5.045736212,4.420991976,11.77,12.1,15.4,15.4,16.6,15.2,14.9,16.88,17.47964286,18.07928571,18.67892857,19.27857143,19.87821429,20.47785714
Urdu,102079,118817,134186,152430,169279,184405,199086,213720,228386,242862,256594,269152,280553,290848,42.204,41.222,38.375,34.703,31.755,30.082,29.124,28.63758588,24.69415008,22.51222271,20.33029535,18.14836798,15.96644061,13.78451324,11.754,10.828,9.827,8.862,8.149,7.568,7.107,5.993714286,5.203035714,4.412357143,3.621678571,2.831,2.040321429,1.249642857
Uzbek,18216,20531,23068,25042,26540,27866,29200,30566,31824,32855,33653,34279,34768,35117,37.4,33.7,29.8,21.4,20.4,22,23.5,18.6105339,14.76598123,12.30257335,9.839165456,7.375757567,4.912349677,2.448941788,7.2,6.1,6.4,5.5,5.4,4.8,4.9,4.257142857,3.882142857,3.507142857,3.132142857,2.757142857,2.382142857,2.007142857
Vietnamese,60094,67259,73784,79178,84425,89572,94349,98722,102459,105478,107843,109602,110718,111174,30.603,28.561,22.842,17.429,16.805,17.282,17.259,12.14128249,9.487819814,7.07060526,4.653390705,2.23617615,-0.181038405,-2.598252959,6.871,6.36,5.889,5.651,5.651,5.81,6.126,5.540714286,5.413107143,5.2855,5.157892857,5.030285714,4.902678571,4.775071429
