Language,Pop_1985,Pop_1990,Pop_1995,Pop_2000,Pop_2005,Pop_2010,Pop_2015,Pop_2020,Pop_2025,Pop_2030,Pop_2035,Pop_2040,Pop_2045,Pop_2050,Bir_1985,Bir_1990,Bir_1995,Bir_2000,Bir_2005,Bir_2010,Bir_2015,Bir_2020,Bir_2025,Bir_2030,Bir_2035,Bir_2040,Bir_2045,Bir_2050,Dea_1985,Dea_1990,Dea_1995,Dea_2000,Dea_2005,Dea_2010,Dea_2015,Dea_2020,Dea_2025,Dea_2030,Dea_2035,Dea_2040,Dea_2045,Dea_2050
German,77685,79381,81654,82184,82440,81645,80855,82983,80025,78022,76590,74984,73277,71542,10.5,11.4,9.4,9.3,8.3,8.3,9,6.811977401,6.870274415,6.368891579,5.867508744,5.366125908,4.864743072,4.363360237,12,11.6,10.8,10.2,10.1,10.5,11.3,10.21428571,10.03571429,9.857142857,9.678571429,9.5,9.321428571,9.142857143
English,13573,15549,17322,18982,21107,23572,26328,29341,32611,36120,39872,43862,48058,52416,41.951,40.038,37.77,35.671,33.64,32.385,30.714,29.14658814,26.89104407,25.05250975,23.21397542,21.3754411,19.53690678,17.69837246,12.534,10.933,10.325,10.402,9.446,8.359,7.663,7.003142857,6.266,5.528857143,4.791714286,4.054571429,3.317428571,2.580285714
Hindi,759613,838159,920585,1006301,1090974,1173109,1251696,1326094,1396047,1460744,1519491,1571716,1617238,1656554,34.418,31.517,28.749,26.401,24.087,21.114,18.625,17.45838305,14.13208438,11.65117583,9.170267272,6.689358717,4.208450161,1.727541606,12.117,10.864,9.579,8.692,8.074,7.492,7.194,5.856285714,5.034214286,4.212142857,3.390071429,2.568,1.745928571,0.923857143
Indonesian,166070,181600,197604,214091,229245,243423,255994,279080,288429,296450,305653,314085,321524,327282,29.592,25.813,22.877,21.773,21.765,20.795,19.165,14.22406328,14.12178164,12.37095358,10.62012552,8.869297458,7.118469397,5.367641337,9.298,8.339,7.67,7.475,7.203,6.653,6.419,5.797285714,5.351714286,4.906142857,4.460571429,4.015,3.569428571,3.123857143
Iraq,15694,18140,19658,23129,27538,30527,37057,42213,47657,53387,59262,65148,70924,76520,38.588,37.755,36.953,35.821,34.092,33.349,31.109,29.98907966,29.03039697,27.76892742,26.50745787,25.24598832,23.98451877,22.72304921,9.209,7.063,6.03,5.627,5.716,5.514,4.965,3.997142857,3.420571429,2.844,2.267428571,1.690857143,1.114285714,0.537714286
Italian,56719,56714,57295,57785,59038,60749,61856,62403,62592,62623,62531,62139,61957,61416,10.2,10,9.2,9.5,9.6,9.5,8,5.957853107,6.921783697,6.461128598,6.0004735,5.539818402,5.079163304,4.618508206,9.7,9.6,9.8,9.8,9.8,9.9,10.7,10.41428571,10.54285714,10.67142857,10.8,10.92857143,11.05714286,11.18571429
Japanese,120755,123538,125328,126776,127716,127580,126920,126138,123366,120752,117747,114449,110907,107210,11.9,10,9.54,9.4,8.41,8.5,8,5.633717514,5.8172159,5.127049502,4.436883105,3.746716707,3.056550309,2.366383912,6.2,6.7,7.41,7.7,8.53,9.5,10.3,10.76571429,11.445,12.12428571,12.80357143,13.48285714,14.16214286,14.84142857
English,19763,23361,27164,30606,35247,40844,45926,49859,53197,56553,60244,64059,67608,70756,47.171,42.56,40.196,40.037,38.366,35.128,30.688,30.92585254,27.95803341,25.6967116,23.43538979,21.17406798,18.91274617,16.65142435,10.073,10.187,11.562,12.621,10.544,7.467,5.928,7.069857143,6.395107143,5.720357143,5.045607143,4.370857143,3.696107143,3.021357143
Madagascar,10029,11633,13533,15713,18132,20847,23813,26956,30183,33418,36615,39759,42834,45808,44.689,44.339,43.725,41.275,37.923,35.204,33.392,33.82640282,30.74195141,28.84090165,26.93985188,25.03880212,23.13775235,21.23670259,16.115,15.153,12.74,10.199,8.498,7.375,6.472,3.975,2.23475,0.4945,-1.24575,-2.986,-4.72625,-6.4665
Malay,15650,17883,20340,23152,25969,28275,30514,32653,34684,36619,38448,40124,41620,42929,30.088,28.096,26.179,21.98,18.164,17.258,17.024,13.78287514,10.85318757,8.471343832,6.089500094,3.707656356,1.325812618,-1.056031121,5.258,4.854,4.632,4.528,4.52,4.649,4.877,4.521857143,4.462392857,4.402928571,4.343464286,4.284,4.224535714,4.165071429
Nahuatl,76601,84635,92584,99776,106577,114062,121737,128650,134829,140063,144287,147495,149612,150568,31.434,28.802,26.096,23.85,21.741,20.042,18.573,14.29871808,12.8530019,10.57487126,8.296740624,6.018609988,3.740479352,1.462348715,6.035,5.447,5.033,4.737,4.792,5.266,5.763,5.093428571,5.04275,4.992071429,4.941392857,4.890714286,4.840035714,4.789357143
Arabic,21644,24000,26148,28114,29901,31628,33323,37956,38854,40520,42302,43704,44957,46028,34.097,29.241,25.155,22.236,21.218,21.21,20.31,13.97365028,12.80303943,10.44147457,8.079909712,5.718344855,3.356779997,0.99521514,8.983,7.393,6.678,6.341,5.701,5.225,5.118,4.075857143,3.472,2.868142857,2.264285714,1.660428571,1.056571429,0.452714286
Portuguese,13294,12990,15889,17997,20069,22418,25304,28604,32307,36622,41434,46746,52586,58999,45.399,44.842,45.074,44.769,43.243,40.715,38.607,39.92526723,38.31674076,37.31562017,36.31449958,35.313379,34.31225841,33.31113782,21.08,19.863,18.288,16.462,14.755,12.89,10.025,8.959857143,7.151142857,5.342428571,3.533714286,1.725,-0.083714286,-1.892428571
Burmese,36766,40464,43994,47439,50573,53415,56321,59126,61748,64103,66155,67928,69445,70674,31.749,27.486,25.277,24.588,22.746,19.782,18.041,15.00928192,13.29567667,11.12031922,8.944961757,6.769604298,4.594246839,2.41888938,12.131,11.008,10.332,9.864,9.447,8.858,8.295,7.606,7.009821429,6.413642857,5.817464286,5.221285714,4.625107143,4.028928571
Nepali,16570,18919,21877,24819,27094,28952,31552,34209,36623,38886,40940,42777,44447,45985,40.419,38.458,35.985,31.547,26.061,22.692,20.844,20.8399435,15.11529318,11.89519323,8.675093288,5.454993341,2.234893395,-0.985206551,15.484,12.839,10.391,8.518,7.363,6.815,6.502,3.698571429,2.197785714,0.697,-0.803785714,-2.304571429,-3.805357143,-5.306142857
English,84898,96685,109753,123946,141190,160342,181563,204950,241581,285894,301935,322187,364465,402224,45.671,44.265,43.449,43.156,42.537,41.341,39.359,39.84503051,38.58208668,37.72191065,36.86173462,36.0015586,35.14138257,34.28120654,18.633,18.579,18.406,17.895,16.267,14.27,12.686,12.59114286,11.56978571,10.54842857,9.527071429,8.505714286,7.484357143,6.463
Urdu,102079,118817,134186,152430,169279,184405,199086,213720,228386,242862,256594,269152,280553,290848,42.204,41.222,38.375,34.703,31.755,30.082,29.124,28.63758588,24.69415008,22.51222271,20.33029535,18.14836798,15.96644061,13.78451324,11.754,10.828,9.827,8.862,8.149,7.568,7.107,5.993714286,5.203035714,4.412357143,3.621678571,2.831,2.040321429,1.249642857
